event_id,event_type,source_organization,document_id,event_date,facility,region,activity,equipment,energy_type,sif_potential,sif_label_type,actual_consequence,injury,fatality,dataset_tier,ml_eligibility
EVT-BSEE-0001,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0001,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,parachute flare,THERMAL,TRUE,DERIVED,Personal injury sustained (Second-degree burn injury).,Second-degree burn injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0002,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0002,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Drilling & Well Intervention,pressure safety valve,PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0003,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0003,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,hot work,THERMAL,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0004,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0004,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,crane,UNKNOWN,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
EVT-BSEE-0005,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0005,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,,GRAVITATIONAL,TRUE,EXPLICIT,Fatal injury occurred.,Fatal injury,True,GOLD,ML_ELIGIBLE
EVT-BSEE-0006,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0006,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Subsea & Diving Operations,hose,THERMAL,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0007,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0007,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,crane,GRAVITATIONAL,TRUE,DERIVED,None reported / Equipment stoppage or minor disruption.,,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0008,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0008,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Drilling & Well Intervention,valve,PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0009,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0009,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,pump,THERMAL,TRUE,DERIVED,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0010,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0010,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Subsea & Diving Operations,,GRAVITATIONAL,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0011,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0011,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,crane,UNKNOWN,UNKNOWN,UNKNOWN,Lost time / serious personal injury sustained.,Fracture / Lost time injury,False,BRONZE,UNLABELED
EVT-BSEE-0012,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0012,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Subsea & Diving Operations,scaffold,GRAVITATIONAL,TRUE,DERIVED,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0013,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0013,,Jack-up Rig,US Gulf of Mexico / OCS,Drilling & Well Intervention,entangled,KINETIC,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
EVT-BSEE-0014,UC,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0014,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Drilling & Well Intervention,drill pipe / tubular,PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0015,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0015,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Subsea & Diving Operations,,THERMAL,TRUE,DERIVED,Personal injury sustained (Second-degree burn injury).,Second-degree burn injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0016,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0016,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,scaffold,GRAVITATIONAL,TRUE,DERIVED,Lost time / serious personal injury sustained.,Fracture / Lost time injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0017,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0017,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Piping & Pressure Maintenance,valve,THERMAL,TRUE,DERIVED,None reported / Equipment stoppage or minor disruption.,,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0018,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0018,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Piping & Pressure Maintenance,compressor,THERMAL,UNKNOWN,UNKNOWN,No injuries occurred (Near Miss / Potential Consequence only).,None,False,BRONZE,UNLABELED
EVT-BSEE-0019,UA,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0019,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Drilling & Well Intervention,,PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0020,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0020,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,lift / elevator,GRAVITATIONAL,TRUE,DERIVED,Personal injury sustained (Burn injury).,Burn injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0021,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0021,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,winch,GRAVITATIONAL,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0022,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0022,,Mobile Offshore Drilling Unit (MODU),US Gulf of Mexico / OCS,Lifting & Rigging Operations,valve,THERMAL,TRUE,DERIVED,Personal injury sustained (Second-degree burn injury).,Second-degree burn injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0023,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0023,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,crane,PRESSURE,TRUE,DERIVED,Lost time / serious personal injury sustained.,Fracture / Lost time injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0024,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0024,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,scaffold,GRAVITATIONAL,TRUE,EXPLICIT,Fatal injury occurred.,Fatal injury,True,GOLD,ML_ELIGIBLE
EVT-BSEE-0025,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0025,,UNKNOWN,US Gulf of Mexico / OCS,Piping & Pressure Maintenance,generator,GRAVITATIONAL,TRUE,DERIVED,Fatal injury occurred.,Fatal injury,True,SILVER,ML_ELIGIBLE
EVT-BSEE-0026,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0026,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,gas cylinder / bailout cylinder,PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0027,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0027,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,blowout preventer (BOP),GRAVITATIONAL,TRUE,DERIVED,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0028,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0028,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,crane,UNKNOWN,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
EVT-BSEE-0029,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0029,,Offshore Fixed Platform,US Gulf of Mexico / OCS,General Industrial / Offshore Operations,,UNKNOWN,UNKNOWN,UNKNOWN,No injuries occurred (Near Miss / Potential Consequence only).,None,False,BRONZE,UNLABELED
EVT-BSEE-0030,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0030,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,blowout preventer (BOP),PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0031,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0031,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,,PRESSURE,TRUE,DERIVED,Fatal injury occurred.,Fatal injury,True,SILVER,ML_ELIGIBLE
EVT-BSEE-0032,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0032,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,,UNKNOWN,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
EVT-BSEE-0033,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0033,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,,PRESSURE,TRUE,DERIVED,Fatal injury occurred.,Fatal injury,True,SILVER,ML_ELIGIBLE
EVT-BSEE-0034,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0034,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,,UNKNOWN,UNKNOWN,UNKNOWN,Lost time / serious personal injury sustained.,Fracture / Lost time injury,False,BRONZE,UNLABELED
EVT-BSEE-0035,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0035,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,valve,PRESSURE,TRUE,DERIVED,None reported / Equipment stoppage or minor disruption.,,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0036,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0036,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Subsea & Diving Operations,,UNKNOWN,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0037,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0037,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,compressor,THERMAL,TRUE,EXPLICIT,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,GOLD,ML_ELIGIBLE
EVT-BSEE-0038,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0038,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,,UNKNOWN,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
EVT-BSEE-0039,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0039,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,,PRESSURE,TRUE,EXPLICIT,Fatal injury occurred.,Fatal injury,True,GOLD,ML_ELIGIBLE
EVT-BSEE-0040,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0040,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,crane,UNKNOWN,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
EVT-BSEE-0041,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0041,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Piping & Pressure Maintenance,generator,THERMAL,TRUE,DERIVED,Lost time / serious personal injury sustained.,Fracture / Lost time injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0042,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0042,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,,THERMAL,TRUE,DERIVED,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0043,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0043,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Drilling & Well Intervention,hose,PRESSURE,TRUE,EXPLICIT,Fatal injury occurred.,Fatal injury,True,GOLD,ML_ELIGIBLE
EVT-BSEE-0044,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0044,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Lifting & Rigging Operations,valve,PRESSURE,TRUE,DERIVED,Personal injury sustained (Second-degree burn injury).,Second-degree burn injury,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0045,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0045,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,,THERMAL,TRUE,DERIVED,Fatal injury occurred.,Fatal injury,True,SILVER,ML_ELIGIBLE
EVT-BSEE-0046,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0046,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,,UNKNOWN,UNKNOWN,UNKNOWN,Fatal injury occurred.,Fatal injury,True,BRONZE,UNLABELED
EVT-BSEE-0047,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0047,,UNKNOWN,US Gulf of Mexico / OCS,Lifting & Rigging Operations,entangled,KINETIC,TRUE,DERIVED,None reported / Equipment stoppage or minor disruption.,,False,SILVER,ML_ELIGIBLE
EVT-BSEE-0048,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0048,,UNKNOWN,US Gulf of Mexico / OCS,Drilling & Well Intervention,hose,PRESSURE,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0049,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0049,,UNKNOWN,US Gulf of Mexico / OCS,Subsea & Diving Operations,hose,GRAVITATIONAL,UNKNOWN,UNKNOWN,None reported / Equipment stoppage or minor disruption.,,False,BRONZE,UNLABELED
EVT-BSEE-0050,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0050,,Offshore Fixed Platform,US Gulf of Mexico / OCS,Drilling & Well Intervention,,UNKNOWN,UNKNOWN,UNKNOWN,Minor injury requiring first aid or medical attention.,First aid / minor laceration or contusion,False,BRONZE,UNLABELED
