event_id,duplicate_status,canonical_event_id,match_reason,source_organization,url
"EVT-BSEE-0001","UNIQUE","EVT-BSEE-0001","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills"
"EVT-BSEE-0002","UNIQUE","EVT-BSEE-0002","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/improvements-needed-in-production-safety-system-training"
"EVT-BSEE-0003","UNIQUE","EVT-BSEE-0003","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/control-portable-electronic-device-use-to-prevent-ignition-hazards-offshore"
"EVT-BSEE-0004","UNIQUE","EVT-BSEE-0004","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/inspect-a2b-systems-and-wire-rope-terminations-to-prevent-crane-hazards"
"EVT-BSEE-0005","UNIQUE","EVT-BSEE-0005","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/verify-riser-fin-retention-systems-before-prompts-riser-handling-operations"
"EVT-BSEE-0006","UNIQUE","EVT-BSEE-0006","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/mechanical-failure-of-lact-pump-caused-fire"
"EVT-BSEE-0007","UNIQUE","EVT-BSEE-0007","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/poorly-maintained-crane-components-result-in-multiple-personnel-injured-during"
"EVT-BSEE-0008","UNIQUE","EVT-BSEE-0008","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/bsee-identifies-compressed-gas-cylinder-hazards-during-risk-based-inspections"
"EVT-BSEE-0009","UNIQUE","EVT-BSEE-0009","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/verify-megge-testing-and-termination-prep-to-prevent-seawater-pump-motor-fires"
"EVT-BSEE-0010","UNIQUE","EVT-BSEE-0010","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/exterior-walkway-separates-from-temporary-living-quarters-putting-workers-at-risk"
"EVT-BSEE-0011","UNIQUE","EVT-BSEE-0011","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/crane-incident-during-well-abandonment-operations-injures-worker-reveals-safety-gaps"
"EVT-BSEE-0012","UNIQUE","EVT-BSEE-0012","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury"
"EVT-BSEE-0013","UNIQUE","EVT-BSEE-0013","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas"
"EVT-BSEE-0014","UNIQUE","EVT-BSEE-0014","Unique event fingerprint","Bureau of Safety and Environmental Enforcement (BSEE)","https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore"
