duplicate_group_id,event_id,source,similarity_reason,duplicate_type,canonical_record,keep_for_training,notes
GRP-00001,EVT-BSEE-0001,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00002,EVT-BSEE-0002,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00003,EVT-BSEE-0003,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00004,EVT-BSEE-0004,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00005,EVT-BSEE-0005,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00006,EVT-BSEE-0006,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00007,EVT-BSEE-0007,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00008,EVT-BSEE-0008,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00009,EVT-BSEE-0009,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00010,EVT-BSEE-0010,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00011,EVT-BSEE-0011,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00012,EVT-BSEE-0012,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00013,EVT-BSEE-0013,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00014,EVT-BSEE-0014,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00015,EVT-BSEE-0015,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00016,EVT-BSEE-0016,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00017,EVT-BSEE-0017,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00018,EVT-BSEE-0018,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00019,EVT-BSEE-0019,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00020,EVT-BSEE-0020,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00021,EVT-BSEE-0021,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00022,EVT-BSEE-0022,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00023,EVT-BSEE-0023,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00024,EVT-BSEE-0024,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00025,EVT-BSEE-0025,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00026,EVT-BSEE-0026,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00027,EVT-BSEE-0027,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00028,EVT-BSEE-0028,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00029,EVT-BSEE-0029,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00030,EVT-BSEE-0030,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00031,EVT-BSEE-0031,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00032,EVT-BSEE-0032,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00033,EVT-BSEE-0033,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00034,EVT-BSEE-0034,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00035,EVT-BSEE-0035,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00036,EVT-BSEE-0036,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00037,EVT-BSEE-0037,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00038,EVT-BSEE-0038,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00039,EVT-BSEE-0039,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00040,EVT-BSEE-0040,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00041,EVT-BSEE-0041,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00042,EVT-BSEE-0042,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00043,EVT-BSEE-0043,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00044,EVT-BSEE-0044,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00045,EVT-BSEE-0045,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00046,EVT-BSEE-0046,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00047,EVT-BSEE-0047,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00048,EVT-BSEE-0048,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00049,EVT-BSEE-0049,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00050,EVT-BSEE-0050,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00051,EVT-BSEE-0051,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00052,EVT-BSEE-0052,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00053,EVT-BSEE-0053,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00054,EVT-BSEE-0054,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00055,EVT-BSEE-0055,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00056,EVT-BSEE-0056,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00057,EVT-BSEE-0057,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00058,EVT-BSEE-0058,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00059,EVT-BSEE-0059,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00060,EVT-BSEE-0060,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00061,EVT-BSEE-0061,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00062,EVT-BSEE-0062,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00063,EVT-BSEE-0063,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00064,EVT-BSEE-0064,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00065,EVT-BSEE-0065,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00066,EVT-BSEE-0066,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00067,EVT-BSEE-0067,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00068,EVT-BSEE-0068,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00069,EVT-BSEE-0069,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00070,EVT-BSEE-0070,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00071,EVT-BSEE-0071,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00072,EVT-BSEE-0072,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00073,EVT-BSEE-0073,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00074,EVT-BSEE-0074,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00075,EVT-BSEE-0075,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00076,EVT-BSEE-0076,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00077,EVT-BSEE-0077,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00078,EVT-BSEE-0078,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00079,EVT-BSEE-0079,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00080,EVT-BSEE-0080,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00081,EVT-BSEE-0081,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00082,EVT-BSEE-0082,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00083,EVT-BSEE-0083,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00084,EVT-BSEE-0084,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00085,EVT-BSEE-0085,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00086,EVT-BSEE-0086,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00087,EVT-BSEE-0087,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00088,EVT-BSEE-0088,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00089,EVT-BSEE-0089,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00090,EVT-BSEE-0090,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00091,EVT-BSEE-0091,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,True,Grouped for zero-leakage cross-validation splitting.
GRP-00092,EVT-BSEE-0092,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00093,EVT-BSEE-0093,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
GRP-00094,EVT-BSEE-0094,Bureau of Safety and Environmental Enforcement (BSEE),Canonical unique fingerprint,CANONICAL,True,False,Grouped for zero-leakage cross-validation splitting.
