event_id,source_organization,document_id,url,reason,audit_status,possible_recovery,review_required
EVT-BSEE-0101,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0101,https://www.bsee.gov/safety-alerts/bsee-saftey-alert-416-investigation-into-grating-failure-fatality-reveals-deficiencies,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0102,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0102,https://www.bsee.gov/safety-alerts/bsee-safety-alert-415-inadequate-preparations-in-advance-of-inclement-weather-results,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0103,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0103,https://www.bsee.gov/safety-alerts/bsee-safety-alert-414-ship-allisions-result-in-severe-damage-to-fixed-facilities,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0104,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0104,https://www.bsee.gov/safety-alerts/bsee-safety-alert-413-hazards-identified-in-level-i-surveys-not-communicated-to,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0105,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0105,https://www.bsee.gov/safety-alerts/bsee-safety-alert-412-failure-to-follow-procedures-results-in-pollution-incidents,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0106,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0106,https://www.bsee.gov/safety-alerts/bsee-safety-alert-411-electrical-fire-damages-equipment-in-motor-control-center,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0107,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0107,https://www.bsee.gov/safety-alerts/safety-alert-410-damaged-electric-cord-results-in-arc,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0108,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0108,https://www.bsee.gov/safety-alerts/bsee-safety-alert-409-fall-from-platform-results-in-a-fatality,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0109,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0109,https://www.bsee.gov/safety-alerts/bsee-safety-alert-408-fire-damages-a-platforms-living-quarters-and-nearby-areas,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0110,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0110,https://www.bsee.gov/safety-alerts/bsee-safety-alert-407-risk-based-inspections-of-subsea-leak-detection-technology,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0111,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0111,https://www.bsee.gov/safety-alerts/bsee-safety-alert-406-labeling-removing-storing-and-installing-hatch-covers,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0112,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0112,https://www.bsee.gov/safety-alerts/bsee-safety-alert-405-blind-shear-rams-damaged-after-inadvertently-closing-on-tool,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0113,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0113,https://www.bsee.gov/safety-alerts/bsee-safety-alert-404-bsee-establishes-goal-to-reduce-lifting-incidents-by-50,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
EVT-BSEE-0114,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0114,https://www.bsee.gov/safety-alerts/bsee-safety-alert-403-findings-from-pandemic-management-risk-based-inspections,Missing physical document artifact in packaged repository (catalog metadata only),QUARANTINED_UNVERIFIED_ARTIFACT,Download original PDF/HTML from source URL and verify SHA-256,True
