source_id,alert_number,source_title,source_organization,source_url,document_date,pdf_present,pdf_sha256,contains_mma_notice,audit_classification,forensic_findings
SRC-BSEE-0001,525,Segregate Pyrotechnics and Verify Flare Type Before Emergency Drills,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills,"August 19, 2026",YES,03a91c1d0c01f35ed6773297a5182d01bf8f62f80b233e1fac05176ae1f3df41,YES,SOURCE_CONFIRMED,"Authenticated BSEE/DOI Safety Alert from August 2026. Contains official footnote regarding July 10, 2026 Department of Interior reunification of BOEM and BSEE into Marine Minerals Administration (MMA). Terminology is genuine federal source text, not synthetic or fabricated."
SRC-BSEE-0024,496,Misidentification of Corrosion Hazard Results in High Potential Event,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event,"March 6, 2025",YES,7d1b99d4462a026c572e514331178830f7afa66d0443cf2dd36447d256b709de,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 496 (March 6, 2025). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0047,472,Safety Alert 472 - Tote Tank Drain Nozzles Pose Leak Hazard,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety-alert-472-tote-tank-drain-nozzles-pose-leak-hazard,N/A,YES,cf0832527de98fbb157b935f8026cba3afd920d6ce5b36d06d3cd0d2d0cfc4ef,NO,SOURCE_CONFIRMED,Official BSEE Safety Alert No. 472 (N/A). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed.
SRC-BSEE-0070,449,BSEE Safety Alert 449 - Temporary Equipment as a Potential Source of Ignition on Offshore Facilities,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/bsee-safety-alert-449-temporary-equipment-as-a-potential-source-of-ignition-on,"September 7, 2022",YES,d429c5d7f1a18102a415915a35b500d2baaff65fc51ab9fb95e93b9f5b1791a9,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 449 (September 7, 2022). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0093,424,BSEE Safety Alert 424 - Recent Uptick in Lifting Injuries due to Unrecognized Pinch Point Hazards,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/bsee-safety-alert-424-recent-uptick-in-lifting-injuries-due-to-unrecognized-pinch,"August 12, 2021",YES,98b167a3367111f9175e7c148e8d667d2486fac231355682aa5d1ef2b9e22404,NO,SOURCE_CONFIRMED,"Official BSEE Safety Alert No. 424 (August 12, 2021). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed."
SRC-BSEE-0116,401,BSEE Safety Alert 401 - BSEE Identifies Improvements to Hurricane Preparedness During Risk Based Inspections,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/bsee-safety-alert-401-bsee-identifies-improvements-to-hurricane-preparedness-during,"October 14, 2020",NO,,NO,SOURCE_PARTIALLY_CONFIRMED,Extracted text artifact present on disk; original PDF artifact was not packaged.
SRC-BSEE-0139,378,Safety Alert 378 - Unsecured Trough Drain Grating Poses Tripping Hazard,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety-alert-378-unsecured-trough-drain-grating-poses-tripping-hazard,"February 28, 2020",NO,,NO,SOURCE_PARTIALLY_CONFIRMED,Extracted text artifact present on disk; original PDF artifact was not packaged.
SRC-BSEE-0162,354,Safety Alert 354 - Fire in Smoking Area Linked to Cigarette Butt Container,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety-alert-354-fire-in-smoking-area-linked-to-cigarette-butt-container,N/A,NO,,NO,SOURCE_PARTIALLY_CONFIRMED,Extracted text artifact present on disk; original PDF artifact was not packaged.
SRC-BSEE-0185,331,Safety Alert 331 - Personnel Transfers by Swing Rope and Personnel Basket,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety-alert-331-personnel-transfers-by-swing-rope-and-personnel-basket,N/A,YES,fc5f4d9f0206e134633b8f1c6106e306e55a6bd7712800189b85be56364b1afd,NO,SOURCE_CONFIRMED,Official BSEE Safety Alert No. 331 (N/A). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed.
SRC-BSEE-0208,308,Safety Alert 308 - Overloading Leads to Catastrophic Failure of Crane Boom,Bureau of Safety and Environmental Enforcement (BSEE),https://www.bsee.gov/safety-alerts/safety/safety-alert-308-overloading-leads-to-catastrophic-failure-of-crane-boom,N/A,YES,00102a810274c5b0296f87824f54cb9d6cad2a1003d95abc5444c7781d321a91,NO,SOURCE_CONFIRMED,Official BSEE Safety Alert No. 308 (N/A). Source text verified against downloaded federal PDF artifact. Historical BSEE nomenclature confirmed.
