priority,event_id,source,category,reason,field_in_question,current_value
P1,EVT-BSEE-0002,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0003,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0004,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0006,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0008,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0009,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0010,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0011,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0013,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0014,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0015,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P2,EVT-BSEE-0017,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0018,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0019,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0021,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0025,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0026,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0028,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0029,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0030,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0031,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0032,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0034,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0036,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0038,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0040,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0041,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P2,EVT-BSEE-0044,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0046,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0047,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0048,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0049,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0050,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0053,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0054,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0055,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0061,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P2,EVT-BSEE-0062,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0063,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0065,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
