event_id,source_tier,dataset_tier,source_quality,extraction_quality,label_quality,overall_quality,has_document_sha256,has_energy,has_barriers,sif_label_type
"EVT-BSEE-0001","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","UNKNOWN"
"EVT-BSEE-0002","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0003","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0004","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0005","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0006","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0007","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0008","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0009","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0010","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0011","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0012","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0013","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0014","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0015","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0016","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0017","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0018","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0019","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","UNKNOWN"
"EVT-BSEE-0020","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0021","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0022","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0023","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0024","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","HIGH","HIGH","true","true","true","EXPLICIT"
"EVT-BSEE-0025","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0026","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0027","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0028","TIER_A_AUTHORITATIVE","GOLD","HIGH","HIGH","MEDIUM","HIGH","true","true","true","DERIVED"
"EVT-BSEE-0029","TIER_A_AUTHORITATIVE","BRONZE","HIGH","HIGH","MEDIUM","MEDIUM","true","false","true","UNKNOWN"
