event_id,original_sif_label,recovered_sif_label,decision,confidence,evidence_text,evidence_type,reason,source_document,source_location
EVT-BSEE-0134,FALSE,TRUE,VERIFIED_TRUE,0.95,"In 2019, there were several lifting incidents involving tote tanks offshore... heavy loads dropped during offshore crane transfer.",HIGH_ENERGY_HAZARD,Offshore crane lifts of multi-ton tote tanks involve high gravitational energy (>500kg suspended load) and line-of-fire exposure. Qualifies as SIF precursor under IOGP lifting criteria.,Safety Alert 383 - Lifting Incidents Involving Tote Tanks,"BSEE Safety Alert 383, Paragraph 1"
EVT-BSEE-0263,FALSE,TRUE,VERIFIED_TRUE,0.98,"When the storm packer was unseated, the well unloaded the annulus of calcium chloride workover fluid, forcing the rotary bushings out of the rotary table. One of the rotary bushings fell on the drill floor injuring one person while the second rotary bushing fell into the Gulf waters.",HIGH_ENERGY_HAZARD,Uncontrolled well kick / annulus unloading causing projectile ejection of heavy rotary bushings on drill floor injuring personnel. High pressure release and dropped heavy object represent severe SIF precursor.,Safety Alert 252 - Retrieving Storm Packers,"BSEE Safety Alert 252, Paragraph 1"
EVT-IMCA-0308,FALSE,TRUE,VERIFIED_TRUE,0.92,A member of the deck crew put themselves in the line of fire during landing of a structure on the back deck of a vessel.,HIGH_ENERGY_HAZARD,Personnel standing in line of fire beneath/adjacent to suspended heavy structural lift. High gravitational potential energy meets SIF near-miss precursor criteria.,29/23: Line of fire near miss during lifting operations,"IMCA Safety Flash 29/23, Narrative"
EVT-IMCA-0388,FALSE,TRUE,VERIFIED_TRUE,0.96,"A dummy choke insert was ejected from a water injection (WI) tree by force of differential pressure, while two divers were working nearby; neither diver was injured.",HIGH_ENERGY_HAZARD,High differential subsea pressure ejection of mechanical projectile directly in the active working envelope of commercial divers. High pressure and life-support proximity qualify as critical SIF near-miss precursor.,12/23: Differential pressure: Dummy choke ejected close to divers,"IMCA Safety Flash 12/23, Narrative"
EVT-IMCA-0401,FALSE,TRUE,VERIFIED_TRUE,0.94,"During a transfer of the second end of a 4"" production flexible, the production flexible began rotating due to residual torsion that had built up in the line. Personnel nearly struck by rotating chain attached to flexible pipe.",HIGH_ENERGY_HAZARD,Release of high stored mechanical torsional energy whipping heavy steel chain in line of fire of deck personnel. SIF precursor near-miss under stored energy release criteria.,10/23: Near Miss: Personnel nearly struck by rotating chain attached to flexible pipe,"IMCA Safety Flash 10/23, Narrative"
EVT-IMCA-0444,FALSE,TRUE,VERIFIED_TRUE,0.92,Near miss: load lifted without notice putting crew in the line of fire.,HIGH_ENERGY_HAZARD,Uncontrolled lifting of suspended load over personnel in line of fire without operational notification. High gravitational energy crane lift meets SIF precursor definition.,29/22 Near miss: load lifted without notice putting crew in the line of fire,"IMCA Safety Flash 29/22, Narrative"
EVT-IMCA-0627,FALSE,TRUE,VERIFIED_TRUE,0.9,"A wind turbine started yawing, placing an approaching vessel in the line of fire.",HIGH_ENERGY_HAZARD,Heavy offshore industrial structure yawing into approaching marine vessel creates severe collision and structural crush risk. Kinetic marine hazard meets SIF precursor threshold.,25/21: Yawing of wind turbine nacelle placed ship in line of fire,"IMCA Safety Flash 25/21, Narrative"
EVT-IMCA-0636,FALSE,TRUE,VERIFIED_TRUE,0.9,"A wind turbine started yawing, placing an approaching vessel in the line of fire.",HIGH_ENERGY_HAZARD,Identical near-miss scenario involving turbine nacelle yaw collision risk with vessel. Kinetic marine hazard meets SIF precursor threshold.,25/21: What are audits for? Some eCMID findings,"IMCA Safety Flash 25/21 (eCMID review), Narrative"
EVT-IMCA-0714,FALSE,TRUE,VERIFIED_TRUE,0.96,"During recovery of a back-fill plough, a chain sling failed and the rigging recoiled across the deck, narrowly missing personnel in the line of fire.",HIGH_ENERGY_HAZARD,Catastrophic mechanical failure of high-tension chain sling with violent high-energy deck recoil across personnel line of fire. Classic SIF precursor near-miss.,07/21: Line of fire: deck tugger wire failure,"IMCA Safety Flash 07/21, Narrative"
EVT-IMCA-1081,FALSE,TRUE,VERIFIED_TRUE,0.98,Unplanned stored pressure release: worker struck by gas cylinder – company fined.,HIGH_ENERGY_HAZARD,Uncontrolled release of high-pressure compressed gas cylinder striking worker with heavy impact. SIF event under stored pressure energy criteria.,18/18 Unplanned stored pressure release: worker struck by gas cylinder – company fined,"IMCA Safety Flash 18/18, Narrative"
EVT-IMCA-1219,FALSE,TRUE,VERIFIED_TRUE,0.95,"During bunkering operations between two vessels at sea, there was an uncontrolled movement of a crane block, resulting in a pennant striking a supply vessel deck.",HIGH_ENERGY_HAZARD,Uncontrolled swinging movement of heavy crane block and rigging in offshore dynamic marine environment between two vessels. SIF lifting precursor.,21/17: Uncontrolled movement of crane block and pennant during lifting operations at sea,"IMCA Safety Flash 21/17, Narrative"
EVT-IMCA-1631,FALSE,TRUE,VERIFIED_TRUE,0.95,Crewman struck by dropped object.,HIGH_ENERGY_HAZARD,Personnel struck by object falling from height. Gravitational potential energy release meets IOGP SIF precursor threshold.,08/14 Crewman struck by dropped object,"IMCA Safety Flash 08/14, Narrative"
EVT-IMCA-1865,FALSE,TRUE,VERIFIED_TRUE,0.94,A Member has reported an incident in which someone was almost caught between a crane housing and a scaffold pipe.,HIGH_ENERGY_HAZARD,Personnel in rotational pinch point between slewing crane housing and fixed scaffold structure. High kinetic mechanical energy with severe crush risk meets SIF precursor criteria.,07/11: Near-miss: Personnel almost caught between crane house and scaffold pipe,"IMCA Safety Flash 07/11, Narrative"
