event_id,barrier_id,barrier_type,barrier_state,evidence_text,evidence_status,evidence_start,evidence_end,grounding_type,quality_flag
EVT-BSEE-0001,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0002,BAR-ISO-01,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0002,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0002,BAR-INST-04,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0003,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0004,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0005,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0006,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0007,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0007,BAR-FALL-03,PHYSICAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0007,BAR-LIFT-05,PHYSICAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0008,BAR-ISO-01,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0008,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0008,BAR-INST-04,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0011,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0012,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0012,BAR-FALL-03,PHYSICAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0012,BAR-LIFT-05,PHYSICAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0014,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0015,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0016,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0017,BAR-ISO-01,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0017,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0017,BAR-INST-04,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0019,BAR-ISO-01,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0019,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0019,BAR-INST-04,ENGINEERED,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
EVT-BSEE-0020,BAR-PTW-02,PROCEDURAL,UNKNOWN,NONE (Generic boilerplate removed),UNSUPPORTED,-1,-1,UNGROUNDED,DOWNGRADED_GENERIC
