event_id,source_organization,document_title,source_url,document_id,document_hash,provenance_status,quality_flag,is_oil_internal
EVT-BSEE-0001,Bureau of Safety and Environmental Enforcement (BSEE),Segregate Pyrotechnics and Verify Flare Type Before Emergency Drills,https://www.bsee.gov/safety-alerts/segregate-pyrotechnics-and-verify-flare-type-before-emergency-drills,SRC-BSEE-0001,e11c17b03a90eb9b0dfcb46fc64e8b6d5eddfff44f9f21c793a8548466c29ea9,VERIFIED,VERIFIED,False
EVT-BSEE-0002,Bureau of Safety and Environmental Enforcement (BSEE),Improvements Needed In Production Safety System Training,https://www.bsee.gov/safety-alerts/improvements-needed-in-production-safety-system-training,SRC-BSEE-0002,fca97d8a5c2fb7eaa241e7aabbf7f3d6534381d5cecd697be9101df07a85fe67,VERIFIED,VERIFIED,False
EVT-BSEE-0003,Bureau of Safety and Environmental Enforcement (BSEE),Control Portable Electronic Device Use to Prevent Ignition Hazards Offshore,https://www.bsee.gov/safety-alerts/control-portable-electronic-device-use-to-prevent-ignition-hazards-offshore,SRC-BSEE-0003,ee03c705fbcb3cd3427480b0bf012a5ceef6ff5cd6c4ffcd40eb078ce2451f00,VERIFIED,VERIFIED,False
EVT-BSEE-0004,Bureau of Safety and Environmental Enforcement (BSEE),Inspect A2B Systems and Wire Rope Terminations to Prevent Crane Hazards,https://www.bsee.gov/safety-alerts/inspect-a2b-systems-and-wire-rope-terminations-to-prevent-crane-hazards,SRC-BSEE-0004,945022e75f629b8152975f745866e1642fd703ec59b7b54efa179216978a1241,VERIFIED,VERIFIED,False
EVT-BSEE-0005,Bureau of Safety and Environmental Enforcement (BSEE),Verify Riser Fin Retention Systems Before Prompts Riser-Handling Operations,https://www.bsee.gov/safety-alerts/verify-riser-fin-retention-systems-before-prompts-riser-handling-operations,SRC-BSEE-0005,bb5c81a46225dd94ef6e681bf73deab40ed3ad9ad7e7401b165e18a471ebc3f2,VERIFIED,VERIFIED,False
EVT-BSEE-0006,Bureau of Safety and Environmental Enforcement (BSEE),Mechanical Failure of LACT Pump Caused Fire,https://www.bsee.gov/safety-alerts/mechanical-failure-of-lact-pump-caused-fire,SRC-BSEE-0006,54623062e09c6617c5959562d6e06de4dbd6a11c7eef532ed9fb70549db63509,VERIFIED,VERIFIED,False
EVT-BSEE-0007,Bureau of Safety and Environmental Enforcement (BSEE),Poorly Maintained Crane Components Result in Multiple Personnel Injured During Transfers,https://www.bsee.gov/safety-alerts/poorly-maintained-crane-components-result-in-multiple-personnel-injured-during,SRC-BSEE-0007,5bb9c0502604a94b13f277bdb235ec4ceae18f905043a1754a2246bd826e71e0,VERIFIED,VERIFIED,False
EVT-BSEE-0008,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Identifies Compressed Gas Cylinder Hazards During Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-identifies-compressed-gas-cylinder-hazards-during-risk-based-inspections,SRC-BSEE-0008,01b8e024264486f15a46d49375129b4e7ebb837678adeb9d38010f6ebaa0194d,VERIFIED,VERIFIED,False
EVT-BSEE-0009,Bureau of Safety and Environmental Enforcement (BSEE),Verify Megge Testing and Termination Prep to Prevent Seawater Pump Motor Fires,https://www.bsee.gov/safety-alerts/verify-megge-testing-and-termination-prep-to-prevent-seawater-pump-motor-fires,SRC-BSEE-0009,099f6b976afb1ac85e75e74d7793285724280c9ea8fac291f2d784a512cb1d69,VERIFIED,VERIFIED,False
EVT-BSEE-0010,Bureau of Safety and Environmental Enforcement (BSEE),"Exterior Walkway Separates from Temporary Living Quarters, Putting Workers at Risk",https://www.bsee.gov/safety-alerts/exterior-walkway-separates-from-temporary-living-quarters-putting-workers-at-risk,SRC-BSEE-0010,ffa59f05d14d509f39b3e2364baf8f4da0013d7734c07f75868aa13d05a981c1,VERIFIED,VERIFIED,False
